作者,讚數,時間,連結,貼文內容
酒造和食居酒屋,0,6分鐘,https://www.facebook.com/groups/traveler168/posts/1860775761104466,大家一起吃起來
94愛旅遊優惠搶先報,0,19分鐘,https://www.facebook.com/groups/traveler168/posts/1860770161105026,
94愛旅遊優惠搶先報,0,44分鐘,https://www.facebook.com/groups/traveler168/posts/1860759267772782,
張小冉,7,5天,https://www.facebook.com/groups/traveler168/posts/1857260864789289,泡湯+美食，繁忙之餘的小確幸
江曼寧,0,1小時,https://www.facebook.com/groups/traveler168/posts/1860748664440509,
黃檸檬YELLOWLEMON,0,1小時,https://www.facebook.com/groups/traveler168/posts/1860740211108021,#洛杉磯 西好萊塢艾迪遜酒店 The West Hollywood EDITION 詳細開箱 https://chic.tw/s/WMr8h6xEDITION 是萬豪旗下標榜高端、潮流的設計酒店品牌，西好萊塢艾迪遜酒店是美西首間喔。飯店入口被蔥蔥鬱鬱的植物包圍，挑高三層樓的大廳雖然簡約卻十分氣派，風格現代又不失溫馨。被升等到高級套房真的是又驚又喜，房間是我喜歡的木質裝潢，有餐廳、客廳、臥室、1.5套衛浴以及超級無敵霹靂大的露台可以在這看星星還能欣賞LA絢爛的都會夜景。備品全是Le Labo為艾迪遜酒店獨家設計的產品，我只能說真的是很放鬆、很享受啊！一進房就只想待在飯店裡，觀光行程可以 通 通 取 消 沒 關 係！
陳冰穎,22,1月24日,https://www.facebook.com/groups/traveler168/posts/1806310579884318,來推薦一間新開幕的足體養生會館「大都會足體養生會館」按完會讓您想大喊再來一次，每位專業師傅的手法都招招到位，由淺層再到深層，疏通您所有經絡，維持全身的氣血順暢，極致放鬆指壓按摩不管是經絡或是穴道加壓，緩解身體所有痠痛，都能夠為您解決締造無數的優良口碑，趕緊打電話預約還有體驗的優惠價格。太慢打電話預約就訂不到位大都會足體養生會館店家資訊地址：板橋區南雅南路一段5號(鄰近南雅夜市，85度c正對面)，周邊共三間停車場走路都約2~3分鐘。LINE 預約：https://lin.ee/1Ank2J9預約專線：(02)2272-8889開幕營業時間：上午10：00～凌晨02：00(之後改為24小時)
跟著領隊玩,2,3小時,https://www.facebook.com/groups/traveler168/posts/1860699011112141,Google高達4.3顆星！新北CP值爆表的生魚片，300元就有將近30片的鮭魚、紅甘、旗魚、軟絲、鮪魚和鮮蝦，等於一片１０元超便宜的，重點是新鮮又美味！Google高達4.3顆星！全文閱讀：https://taiwantour.info/woods-sashimi/
吳佩勳,0,3小時,https://www.facebook.com/groups/traveler168/posts/1860685637780145,新增機位找到了直飛富國島6日27900含稅起直飛 免簽證～…… 查看更多
衙門打工仔的日常,0,5小時,https://www.facebook.com/groups/traveler168/posts/1860639647784744,更新澳洲自由行8天7夜的第3天到現在還是非常想念墨爾本雖然墨爾本沒有一個顯著的地標不過天際線是真的很好看…… 查看更多
張小冉,7,5天,https://www.facebook.com/groups/traveler168/posts/1857260864789289,泡湯+美食，繁忙之餘的小確幸
黃檸檬YELLOWLEMON,0,1小時,https://www.facebook.com/groups/traveler168/posts/1860740211108021,#洛杉磯 西好萊塢艾迪遜酒店 The West Hollywood EDITION 詳細開箱 https://chic.tw/s/WMr8h6xEDITION 是萬豪旗下標榜高端、潮流的設計酒店品牌，西好萊塢艾迪遜酒店是美西首間喔。飯店入口被蔥蔥鬱鬱的植物包圍，挑高三層樓的大廳雖然簡約卻十分氣派，風格現代又不失溫馨。被升等到高級套房真的是又驚又喜，房間是我喜歡的木質裝潢，有餐廳、客廳、臥室、1.5套衛浴以及超級無敵霹靂大的露台可以在這看星星還能欣賞LA絢爛的都會夜景。備品全是Le Labo為艾迪遜酒店獨家設計的產品，我只能說真的是很放鬆、很享受啊！一進房就只想待在飯店裡，觀光行程可以 通 通 取 消 沒 關 係！
陳冰穎,22,1月24日,https://www.facebook.com/groups/traveler168/posts/1806310579884318,來推薦一間新開幕的足體養生會館「大都會足體養生會館」按完會讓您想大喊再來一次，每位專業師傅的手法都招招到位，由淺層再到深層，疏通您所有經絡，維持全身的氣血順暢，極致放鬆指壓按摩不管是經絡或是穴道加壓，緩解身體所有痠痛，都能夠為您解決締造無數的優良口碑，趕緊打電話預約還有體驗的優惠價格。太慢打電話預約就訂不到位大都會足體養生會館店家資訊地址：板橋區南雅南路一段5號(鄰近南雅夜市，85度c正對面)，周邊共三間停車場走路都約2~3分鐘。LINE 預約：https://lin.ee/1Ank2J9預約專線：(02)2272-8889開幕營業時間：上午10：00～凌晨02：00(之後改為24小時)
跟著領隊玩,2,3小時,https://www.facebook.com/groups/traveler168/posts/1860699011112141,Google高達4.3顆星！新北CP值爆表的生魚片，300元就有將近30片的鮭魚、紅甘、旗魚、軟絲、鮪魚和鮮蝦，等於一片１０元超便宜的，重點是新鮮又美味！Google高達4.3顆星！全文閱讀：https://taiwantour.info/woods-sashimi/
吳佩勳,0,3小時,https://www.facebook.com/groups/traveler168/posts/1860685637780145,新增機位找到了直飛富國島6日27900含稅起直飛 免簽證～…… 查看更多
衙門打工仔的日常,0,5小時,https://www.facebook.com/groups/traveler168/posts/1860639647784744,更新澳洲自由行8天7夜的第3天到現在還是非常想念墨爾本雖然墨爾本沒有一個顯著的地標不過天際線是真的很好看尤其是散步在這城市中可以感受到的文藝氛圍
Chen Li,0,5小時,https://www.facebook.com/groups/traveler168/posts/1860635067785202,邀約你風和日麗的好天氣時踏青爬山到汐碇路(或白雲路、勤進路、秀峰路、大尖山步道)踏雪尋幽，數一數每條路有多少堆白雪？https://www.facebook.com/share/p/hzY9t6zA3YCF61tC/?mibextid=oFDknk
